,Striatum_TD_3_4A,Striatum_TD_3_4B,Striatum_TD_2_1A,Striatum_TD_2_1B,Striatum_TD_1_1A,Striatum_TD_1_1B,Striatum_TD_3_1A,Striatum_TD_3_1B,Striatum_TD_2_2A,Striatum_TD_2_2B,Striatum_TD_1_2A,Striatum_TD_1_2B,Striatum_TD_3_2A,Striatum_TD_3_2B,Striatum_TD_3_6A,Striatum_TD_3_6B,Striatum_TD_2_3A,Striatum_TD_2_3B,Striatum_TD_1_3A,Striatum_TD_1_3B,Striatum_TD_3_3A,Striatum_TD_3_3B,Striatum_TD_3_7A,Striatum_TD_3_7B,Striatum_TD_2_4A,Striatum_TD_2_4B,Striatum_TD_1_4A,Striatum_TD_1_4B,PFC_TD_3_4A,PFC_TD_3_4B,PFC_TD_2_1A,PFC_TD_2_1B,PFC_TD_1_1A,PFC_TD_1_1B,PFC_TD_3_1A,PFC_TD_3_1B,PFC_TD_3_5A,PFC_TD_3_5B,PFC_TD_2_2A,PFC_TD_2_2B,PFC_TD_1_2A,PFC_TD_1_2B,PFC_TD_3_2A,PFC_TD_3_2B,PFC_TD_3_6A,PFC_TD_3_6B,PFC_TD_2_3A,PFC_TD_2_3B,PFC_TD_1_3A,PFC_TD_1_3B,PFC_TD_3_3A,PFC_TD_3_3B,PFC_TD_3_7A,PFC_TD_3_7B,PFC_TD_2_4A,PFC_TD_2_4B,PFC_TD_1_4A,PFC_TD_1_4B
ENSMUSG00000000001,44439,79062,35465,39477,47284,48614,45405,38327,34035,37108,32174,35122,36440,37698,45054,51708,24293,49881,34023,38657,21002,42622,40699,42400,42996,45647,31927,53429,41037,40466,40564,51840,42730,44498,56279,58460,60209,61825,50178,51848,40619,49813,23332,36734,38762,39097,30340,56659,46392,47291,31051,55367,51449,47626,56459,52238,48884,42500
ENSMUSG00000000028,2378,4846,2340,1124,2554,2726,3141,2289,1654,1303,1994,2110,2319,2977,2833,2798,1214,2962,1794,1337,1508,2917,2797,2577,2230,2113,1217,2545,2143,2136,1269,1286,2204,3075,1596,1715,2562,2039,2377,3706,2081,826,730,1846,1536,1675,1894,2512,1839,2067,1492,3330,3247,1515,3810,1793,2143,3627
ENSMUSG00000000031,0,0,0,138,0,138,0,274,104,0,138,138,0,0,246,262,616,0,163,0,0,414,0,0,276,0,0,0,376,0,373,122,0,267,255,0,276,827,474,401,0,138,0,472,0,226,91,138,137,658,547,212,378,271,401,138,494,852
ENSMUSG00000000037,712,3040,624,482,1149,1748,1690,1457,994,1020,1260,963,1262,844,977,757,138,929,592,257,546,1170,1949,1240,1522,272,549,132,850,789,1330,1501,1981,1778,2082,1929,1316,1244,1565,1260,1126,770,792,1435,1184,1335,1632,688,650,919,928,1754,1031,1279,1220,404,1553,2465
ENSMUSG00000000049,646,1455,569,876,843,1139,699,791,752,614,833,681,1111,853,797,562,423,653,685,538,396,484,1071,848,534,349,390,555,963,1413,1049,819,725,1052,788,782,641,693,546,1361,520,933,929,1410,872,1063,486,701,884,427,487,594,787,1109,866,376,1221,1447
ENSMUSG00000000056,65766,125215,59110,64463,81310,82109,73552,82791,70124,79794,67650,61013,79296,75973,77123,85560,39178,73308,72627,66014,44490,85666,71974,79681,59271,70878,53914,92044,65989,73417,58582,62650,67330,68794,66714,72495,75267,88297,62746,70148,63650,66934,34347,66509,49343,48341,37303,63115,52373,55077,43482,77499,74838,68189,64047,64329,70386,72136
ENSMUSG00000000058,22913,42973,14292,17183,21215,26127,22612,25432,19355,18839,14823,15472,17096,18840,23668,26847,11747,22544,15285,13079,14493,18722,15521,18659,21691,19379,12683,25410,42492,51691,45367,46108,41601,36530,49567,52435,52443,55774,43368,47666,46281,45333,20059,39969,32301,42141,25639,50218,37991,34839,33002,56188,43844,43241,43133,46151,34230,42895
ENSMUSG00000000078,45239,97186,37804,37046,40988,45116,61392,62806,43828,45580,43786,38375,41828,47993,57554,52243,24770,39072,41765,41478,24897,53199,52359,44310,36836,39604,29820,52216,97600,104982,66868,67350,97725,110272,85386,84502,88910,91094,82326,82004,81635,87292,58959,101392,56332,58237,36919,76568,65258,61761,58383,100451,78308,79498,56484,67589,81093,84397
ENSMUSG00000000085,75787,158554,113489,117829,139465,155531,117264,117106,99108,99394,104139,105491,125868,145658,105671,111833,68558,129946,119922,119826,63068,134607,112645,115760,89879,90888,60938,123678,75635,75068,56285,63532,70597,72853,62819,57961,65486,69521,86399,85469,70331,78577,50665,106544,50049,60612,35312,65076,74888,78026,50254,85253,61156,60875,55646,54698,84062,89910
ENSMUSG00000000088,79988,160649,102548,98328,118172,128756,108209,112310,88689,93445,95421,93470,93529,95783,111347,120604,64912,104715,73972,81085,68670,125420,92128,99099,97837,99141,78026,139441,107648,108892,93948,99491,99991,102319,109020,113770,105884,121103,105724,119511,96688,100230,64811,99635,80676,82275,63437,101942,92186,93979,66610,127103,95934,104667,105371,114714,100209,107935
